NaN,15.871,16.213,16.555,16.897,17.239,17.666,18.037,18.464,18.834,19.262,19.632,20.059,20.515,20.971,21.427,21.883,22.424,22.909,23.365,23.906,24.391,24.932,25.502,26.072,26.642,27.211,27.781,28.437,29.035,29.69,30.374,30.973,31.628,32.312,33.081,33.793,34.563,35.275,36.044,36.842,37.64,38.438,39.321,40.148,41.031,41.943,42.854,43.852,44.792,45.789,46.73,47.727,48.838,49.892,51.003,52.143,53.283,54.423,55.563,56.788,58.041,59.295,60.634,62.002,63.37,64.737,66.105,67.558,69.04,70.607,72.117,73.684,75.28,76.961,78.671,80.38,82.09,83.885,85.709,87.618,89.555,91.493,93.516,95.568,97.704,99.785,102.007,104.201,106.452,108.817,111.211,113.433,115.684,118.817,121.383,123.663,126.795,129.362,132.494,135.06,138.193,141.613,144.179,147.312,150.731,154.15,157.57,160.989,164.408,167.828,171.247
2,0,0,3750,3750,3750,5000,11250,12500,16250,18750,21250,46250,55000,67500,68750,108750,116250,127500,167500,202500,232500,246250,290000,387500,396250,516250,611250,693750,805000,916250,1068750,1158750,1458750,1435000,1711250,1797500,2067500,2172500,2270000,2347500,2556250,2707500,2901250,3032500,2971250,3156250,3276250,3306250,3382500,3372500,3431250,3447500,3365000,3342500,3177500,3162500,2968750,2802500,2501250,2555000,2083750,1918750,1782500,1530000,1318750,1161250,1012500,862500,728750,673750,565000,472500,438750,366250,417500,343750,303750,270000,258750,230000,236250,237500,188750,190000,158750,151250,155000,141250,103750,90000,85000,72500,57500,53750,48750,55000,35000,32500,23750,12500,11250,13750,7500,5000,5000,7500,0,7500,1250,1250,0
4,0,7500,7500,5000,15000,11250,13750,26250,35000,51250,67500,106250,120000,132500,176250,196250,223750,283750,292500,411250,420000,541250,600000,705000,817500,981250,1053750,1210000,1377500,1543750,1687500,1808750,2142500,2167500,2287500,2531250,2735000,2697500,2956250,3066250,3167500,3332500,3423750,3593750,3541250,3666250,3745000,3738750,3865000,3667500,3718750,3550000,3487500,3407500,3105000,3100000,2717500,2580000,2243750,2138750,1825000,1678750,1392500,1207500,1066250,853750,726250,591250,472500,398750,325000,286250,253750,217500,172500,188750,181250,138750,127500,97500,103750,101250,81250,90000,80000,70000,55000,57500,42500,28750,38750,35000,36250,27500,21250,22500,5000,6250,6250,6250,6250,10000,2500,0,7500,2500,2500,6250,1250,1250,0
6,0,0,7500,17500,6250,18750,46250,47500,70000,65000,105000,121250,178750,186250,215000,292500,337500,398750,501250,457500,605000,787500,853750,956250,1105000,1230000,1348750,1542500,1765000,1836250,2057500,2128750,2363750,2463750,2710000,2816250,2970000,3102500,3341250,3295000,3500000,3472500,3646250,3665000,3672500,3741250,3801250,3641250,3870000,3655000,3653750,3500000,3320000,3156250,3073750,2766250,2595000,2301250,2042500,1895000,1527500,1373750,1142500,952500,767500,627500,468750,365000,321250,225000,205000,167500,147500,107500,95000,92500,70000,76250,42500,61250,48750,53750,66250,52500,46250,40000,32500,31250,27500,22500,15000,15000,12500,15000,8750,5000,5000,1250,2500,1250,1250,2500,1250,0,2500,2500,6250,5000,2500,0,0
8,2500,2500,8750,6250,13750,16250,21250,41250,42500,58750,82500,95000,135000,178750,165000,228750,246250,332500,370000,442500,553750,625000,771250,887500,970000,1106250,1301250,1362500,1615000,1788750,2022500,2152500,2233750,2422500,2615000,2825000,3052500,3030000,3331250,3366250,3453750,3633750,3730000,3721250,3825000,3911250,3992500,3858750,4036250,3822500,3885000,3918750,3696250,3556250,3443750,3206250,3166250,3006250,2588750,2432500,2051250,1892500,1641250,1333750,1148750,912500,742500,608750,482500,332500,292500,215000,157500,132500,105000,103750,85000,58750,45000,38750,53750,40000,42500,45000,38750,28750,21250,22500,18750,17500,20000,5000,10000,2500,6250,7500,1250,2500,2500,1250,0,3750,2500,1250,3750,2500,5000,2500,1250,3750,0
10,0,0,7500,3750,8750,7500,16250,17500,18750,20000,32500,52500,63750,68750,90000,132500,148750,137500,191250,221250,276250,336250,410000,512500,545000,627500,731250,926250,952500,1162500,1331250,1368750,1653750,1818750,2036250,2088750,2403750,2395000,2612500,2806250,3013750,3183750,3087500,3406250,3523750,3527500,3672500,3736250,4016250,3910000,3847500,3968750,3886250,3997500,3822500,3793750,3713750,3796250,3505000,3373750,3198750,3082500,2813750,2513750,2442500,2155000,1871250,1575000,1462500,1136250,888750,696250,532500,471250,317500,255000,177500,133750,133750,91250,60000,66250,45000,55000,38750,36250,33750,50000,31250,25000,16250,21250,13750,20000,13750,6250,5000,5000,7500,3750,2500,2500,0,2500,1250,10000,2500,3750,3750,0,0
12,1000,0,3000,2000,2000,3000,8000,9000,14000,20000,22000,15000,31000,44000,33000,47000,77000,87000,87000,97000,122000,152000,179000,185000,262000,263000,355000,406000,466000,654000,676000,789000,856000,995000,1112000,1324000,1484000,1618000,1794000,1907000,2087000,2308000,2467000,2641000,2851000,2915000,3048000,3141000,3412000,3398000,3513000,3633000,3618000,3788000,3737000,3693000,3782000,3805000,3701000,3754000,3681000,3560000,3646000,3578000,3420000,3233000,3217000,2862000,2740000,2638000,2309000,2072000,1959000,1609000,1437000,1231000,958000,794000,607000,465000,376000,264000,214000,123000,94000,79000,52000,52000,44000,35000,37000,25000,30000,23000,16000,7000,17000,10000,15000,4000,4000,4000,5000,4000,2000,4000,3000,7000,4000,1000,0
14,0,0,2500,0,2500,2500,5000,5000,7500,2500,11250,7500,12500,16250,30000,16250,12500,23750,22500,33750,38750,41250,65000,53750,71250,91250,111250,107500,146250,183750,202500,242500,273750,327500,428750,457500,580000,675000,806250,860000,980000,1110000,1255000,1450000,1598750,1763750,1967500,2136250,2391250,2507500,2582500,2903750,2865000,3060000,3101250,3388750,3516250,3691250,3623750,3786250,3693750,3923750,3930000,3861250,3901250,3975000,3931250,3848750,3883750,3856250,3652500,3581250,3388750,3201250,2962500,2743750,2553750,2283750,2048750,1656250,1485000,1211250,993750,816250,597500,486250,366250,247500,228750,127500,118750,61250,45000,50000,48750,28750,27500,17500,20000,17500,6250,10000,5000,6250,5000,13750,5000,6250,2500,0,0
16,0,1250,1250,1250,2500,1250,3750,0,6250,6250,7500,10000,7500,12500,10000,16250,16250,25000,13750,23750,22500,20000,31250,35000,33750,51250,61250,41250,63750,97500,97500,111250,141250,147500,185000,206250,210000,242500,305000,380000,418750,572500,541250,713750,765000,955000,1130000,1188750,1401250,1473750,1717500,1846250,2011250,2202500,2322500,2651250,2683750,3057500,3156250,3356250,3453750,3515000,3708750,3865000,3945000,4041250,4190000,4267500,4142500,4342500,4138750,4160000,3988750,3845000,3795000,3651250,3518750,3395000,3072500,2890000,2553750,2362500,2036250,1725000,1463750,1273750,1085000,878750,713750,531250,396250,285000,247500,180000,121250,95000,77500,60000,62500,26250,20000,22500,13750,11250,10000,10000,6250,15000,6250,0,0
18,0,0,1250,1250,3750,3750,2500,2500,3750,3750,7500,11250,8750,10000,10000,10000,12500,20000,16250,13750,18750,23750,28750,30000,27500,33750,23750,42500,57500,47500,58750,51250,88750,88750,93750,91250,163750,127500,178750,188750,258750,297500,355000,390000,483750,537500,658750,785000,933750,1013750,1176250,1370000,1550000,1686250,1805000,2087500,2418750,2582500,2857500,3150000,3253750,3595000,3712500,3801250,4111250,4122500,4307500,4378750,4261250,4385000,4310000,4106250,4137500,3938750,3998750,3735000,3531250,3352500,3271250,3098750,2765000,2676250,2571250,2296250,2087500,1931250,1623750,1523750,1282500,1117500,910000,770000,616250,477500,388750,315000,231250,233750,131250,98750,67500,62500,46250,25000,36250,16250,18750,18750,2500,0,1250
20,1250,0,0,2500,3750,7500,8750,10000,8750,15000,15000,25000,33750,23750,27500,41250,60000,68750,88750,78750,85000,125000,115000,153750,141250,197500,195000,225000,247500,261250,330000,296250,378750,405000,412500,541250,566250,615000,671250,766250,833750,925000,987500,1182500,1190000,1301250,1451250,1553750,1778750,1846250,2161250,2123750,2230000,2590000,2707500,2962500,3035000,3256250,3317500,3510000,3507500,3621250,3576250,3606250,3597500,3681250,3558750,3513750,3298750,3312500,3058750,3003750,2925000,2812500,2703750,2585000,2431250,2223750,2177500,2081250,2071250,1961250,1898750,1665000,1535000,1482500,1336250,1238750,1120000,1040000,883750,808750,676250,600000,495000,405000,342500,282500,222500,168750,112500,75000,60000,71250,47500,35000,21250,20000,1250,1250,0
22,0,0,0,1250,2500,11250,2500,7500,7500,7500,11250,27500,25000,35000,43750,51250,63750,65000,85000,87500,115000,128750,140000,186250,205000,220000,211250,236250,301250,325000,428750,420000,527500,591250,646250,715000,842500,952500,1077500,1287500,1407500,1541250,1732500,1940000,2146250,2440000,2677500,2927500,3152500,3305000,3705000,3721250,4165000,4273750,4277500,4557500,4436250,4437500,4398750,4275000,4316250,4010000,3725000,3425000,3280000,3230000,3061250,2917500,2682500,2661250,2358750,2258750,2168750,2036250,2007500,1898750,1775000,1735000,1665000,1476250,1467500,1410000,1318750,1180000,1178750,1001250,985000,862500,796250,760000,636250,611250,508750,457500,393750,310000,298750,223750,198750,148750,86250,76250,48750,43750,23750,22500,15000,10000,6250,1250,0
0,0,1250,1250,3750,6250,7500,8750,13750,12500,15000,25000,33750,32500,63750,53750,62500,97500,115000,115000,162500,232500,212500,271250,330000,371250,418750,561250,631250,665000,803750,1028750,1137500,1243750,1463750,1698750,1902500,2110000,2257500,2592500,2802500,3086250,3428750,3623750,3867500,4150000,4241250,4467500,4798750,5027500,5057500,5245000,5278750,5271250,5213750,5135000,5028750,4872500,4618750,4178750,4038750,3596250,3352500,3210000,2838750,2493750,2311250,2091250,1898750,1715000,1545000,1448750,1327500,1233750,1120000,1122500,943750,1040000,890000,787500,782500,752500,666250,648750,610000,567500,512500,481250,481250,372500,317500,295000,297500,233750,185000,158750,146250,121250,101250,81250,73750,41250,25000,22500,25000,11250,11250,6250,3750,3750,1250,0
2,0,1250,2500,2500,8750,10000,20000,13750,36250,51250,48750,92500,95000,131250,137500,187500,222500,238750,291250,342500,438750,515000,596250,745000,892500,963750,1123750,1315000,1603750,1755000,2121250,2231250,2413750,2760000,3296250,3308750,3581250,4003750,4181250,4562500,4850000,5018750,5118750,5563750,5818750,5842500,5956250,6261250,6220000,6125000,6248750,6181250,5995000,6120000,5665000,5300000,5215000,4731250,4366250,4097500,3488750,3306250,2722500,2495000,2107500,1836250,1546250,1367500,1100000,1023750,873750,811250,703750,687500,600000,516250,477500,461250,378750,397500,327500,307500,326250,278750,277500,215000,181250,180000,156250,122500,128750,105000,101250,78750,70000,58750,41250,38750,27500,36250,25000,15000,10000,6250,11250,3750,10000,5000,2500,1250,0
4,0,8750,13750,15000,28750,32500,46250,60000,92500,123750,136250,155000,211250,280000,320000,372500,461250,611250,703750,776250,941250,998750,1293750,1448750,1610000,1845000,2047500,2343750,2643750,2883750,3218750,3396250,3740000,3918750,4097500,4395000,4903750,4855000,5445000,5358750,5862500,5971250,6050000,6301250,6481250,6611250,6720000,6587500,6772500,6503750,6471250,6478750,6252500,6162500,5511250,5428750,4866250,4597500,3977500,3798750,3132500,2755000,2413750,2008750,1670000,1455000,1157500,988750,771250,676250,585000,461250,408750,393750,341250,301250,262500,251250,228750,216250,213750,176250,167500,132500,117500,90000,115000,105000,85000,72500,75000,57500,40000,42500,36250,20000,12500,25000,21250,8750,8750,5000,7500,5000,3750,5000,3750,3750,2500,1250,0
6,1250,12500,16250,28750,38750,62500,96250,112500,158750,176250,272500,327500,378750,427500,548750,618750,743750,885000,963750,1206250,1293750,1476250,1747500,1928750,2123750,2378750,2625000,2921250,3138750,3416250,3877500,4081250,4568750,4580000,5086250,5112500,5525000,5511250,6087500,6117500,6433750,6501250,6342500,6895000,6925000,6848750,6916250,6893750,6918750,6665000,6685000,6471250,6056250,5977500,5480000,5195000,4606250,4197500,3770000,3200000,2667500,2275000,1958750,1630000,1472500,1061250,906250,708750,608750,472500,413750,332500,287500,237500,221250,182500,181250,162500,140000,126250,125000,112500,108750,116250,93750,88750,82500,83750,63750,48750,46250,30000,25000,18750,25000,12500,15000,7500,8750,5000,2500,3750,5000,5000,2500,3750,2500,3750,3750,0,0
8,2500,10000,16250,26250,43750,70000,71250,88750,140000,178750,212500,261250,311250,348750,455000,540000,598750,765000,877500,1012500,1118750,1376250,1542500,1723750,2060000,2203750,2535000,2711250,3167500,3365000,3725000,3916250,4230000,4605000,5006250,4998750,5426250,5631250,5940000,6046250,6312500,6552500,6782500,6768750,7061250,7048750,7032500,7045000,7116250,7098750,7180000,6918750,6530000,6598750,5888750,5885000,5413750,5071250,4758750,4178750,3578750,3108750,2680000,2228750,1898750,1533750,1202500,1078750,806250,552500,465000,321250,291250,236250,190000,155000,141250,146250,83750,98750,86250,67500,78750,81250,82500,68750,60000,58750,53750,45000,45000,30000,22500,21250,17500,12500,15000,8750,11250,7500,5000,2500,3750,1250,2500,3750,5000,10000,5000,1250,0
